name,brand_names,key_ingredients,ratings,number_of_ratings,key_benefit_areas
Healing Herbs Bach Flower Rock water,Healing Pharma India Pvt Ltd,Rock water extract,,,Others
LDD Bioscience Plantago Major Ext Mother Tincture Q,LDD Bioscience Pvt Ltd,Plantago Major Ext,,,Stomach
Bjain Baptisia Tinctoria Globules 0/23 LM,Bjain Pharmaceuticals Pvt Ltd,Baptisia tinctoria,,,Joints
ADEL Ars. Sulf Rub. Dilution CM,Adel Pekana Germany,Arsenicum sulphuratum rubrum,,,Eye
LDD Bioscience Argentum Iodatum Dilution 6 CH,LDD Bioscience Pvt Ltd,Argentum Iodatum,,,Others
Boiron Digitalis Purpurea Dilution 30C,Boiron Laboratories Pvt Ltd,Digitalis purpurea,,,Others
LDD Bioscience Cephalandra Indica Dilution 6 CH,LDD Bioscience Pvt Ltd,Cephalandra indica,,,Kidney
Bjain Kreosotum Globules 0/13 LM,Bjain Pharmaceuticals Pvt Ltd,Kreosotum,,,Skin
Hapro Pulsatilla Nigricans Dilution 200,Hapro Homeo Chem Pvt Ltd,Pulsatilla nigricans,,,Eye
LDD Bioscience Acidum Muriaticum Dilution 6 CH,LDD Bioscience Pvt Ltd,Acidum Muriaticum,,,Nerves
LDD Bioscience Aloe Socotrina Dilution 6 CH,LDD Bioscience Pvt Ltd,Aloe socotrina,,,Others
Bjain Bryonia Alba Globules 0/29 LM,Bjain Pharmaceuticals Pvt Ltd,Bryonia Alba,,,Throat
Bjain Rhus Toxicodendron Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Rhus toxicodendron,,,Whole Body
Boiron Lilium Tigrinum Dilution 200C,Boiron Laboratories Pvt Ltd,Lilium tigrinum,,,Heart
Bjain Argentum Nitricum Globules 0/27 LM,Bjain Pharmaceuticals Pvt Ltd,Argentum Nitricum,,,Eye
Boiron Natrum Carbonicum Dilution 30C,Boiron Laboratories Pvt Ltd,Natrum carbonicum,,,Stomach
Bjain Calcarea Fluorica Globules 0/10 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea Fluorica,,,Others
Bjain Calcarea Carbonica Globules 0/27 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea Carbonica,,,Others
Bjain Thyroidinum Globules 0/6 LM,Bjain Pharmaceuticals Pvt Ltd,Thyroidinum,,,Joints
Bjain Acidum Tannicum Globules 0/11 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum tannicum,,,Intestine
LDD Bioscience Gaultheria Procumbens Dilution 6 CH,LDD Bioscience Pvt Ltd,Gaultheria procumbens,,,Others
Bjain Rhus Toxicodendron Globules 0/26 LM,Bjain Pharmaceuticals Pvt Ltd,Rhus toxicodendron,,,Whole Body
Bjain Lycopodium Clavatum Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Lycopodium Clavatum,,,Throat
LDD Bioscience Chionanthus Virginica Dilution 6 CH,LDD Bioscience Pvt Ltd,Chionanthus virginica,,,Stomach
LDD Bioscience Aurum Muriaticum Dilution 6 CH,LDD Bioscience Pvt Ltd,Alfalfa,,,Heart
LDD Bioscience Myristica Dilution 6 CH,LDD Bioscience Pvt Ltd,Myristica,,,Skin
Bjain Kali Phosphoricum Globules 0/22 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Brain
LDD Bioscience Strychninum Dilution 6 CH,LDD Bioscience Pvt Ltd,Strychninum,,,Whole Body
LDD Bioscience Naja Tripudians Dilution 6 CH,LDD Bioscience Pvt Ltd,Naja tripudians,,,Heart
Bjain Acidum Picricum Globules 0/2 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum picricum,,,Others
LDD Bioscience Balsamum Peruvianum Dilution 6 CH,LDD Bioscience Pvt Ltd,Balsamum Peruvianum,,,Throat
LDD Bioscience Rumex Crispus Dilution 1000 CH,LDD Bioscience Pvt Ltd,Rumex Crispus,,,Throat
Bjain Allium Cepa Globules 0/20 LM,Bjain Pharmaceuticals Pvt Ltd,Allium cepa,,,Eye
Bjain Kali Bichromicum Globules 0/25 LM,Bjain Pharmaceuticals Pvt Ltd,Kali Bichromicum,,,Others
Bjain Calcarea Hypophosphorosa Globules 0/25 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea Hypophosphorosa,,,Others
Bjain Arsenicum Album Globules 0/16 LM,Bjain Pharmaceuticals Pvt Ltd,Arsenicum album,,,Throat
LDD Bioscience Gun Powder Dilution 6 CH,LDD Bioscience Pvt Ltd,Gun Powder,,,Others
Bjain  Magnesia Muriatica Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Magnesia Muriatica,,,Whole Body
LDD Bioscience Ferrum Iodatum Dilution 6 CH,LDD Bioscience Pvt Ltd,Ferrum iodatum,,,Others
LDD Bioscience Solidago Virgaurea Dilution 1000 CH,LDD Bioscience Pvt Ltd,Solidago virgaurea,,,Kidney
LDD Bioscience Aviaire Dilution 6 CH,LDD Bioscience Pvt Ltd,Aviaire,,,Others
LDD Bioscience Carbo Sulph Dilution 6 CH,LDD Bioscience Pvt Ltd,Carbo sulph,,,Eye
LDD Bioscience Cocculus Indicus Dilution 6 CH,LDD Bioscience Pvt Ltd,Cocculus Indicus,,,Whole Body
LDD Bioscience Zincum Sulph Dilution 1000 CH,LDD Bioscience Pvt Ltd,Zincum Sulph,,,Stomach
Bjain Berberis Vulgaris Globules 0/3 LM,Bjain Pharmaceuticals Pvt Ltd,Berberis vulgaris,,,Joints
Bjain Hypericum Perforatum Globules 0/9 LM,Bjain Pharmaceuticals Pvt Ltd,Hypericum perforatum,,,Joints
Bjain Argentum Nitricum Globules 0/8 LM,Bjain Pharmaceuticals Pvt Ltd,Argentum Nitricum,,,Eye
Bjain Caulophyllum Thalictroides  Globules 0/1 LM,Bjain Pharmaceuticals Pvt Ltd,Caulophyllum thalictroides,,,Joints
Bjain Acidum Sulphuricum Globules 0/7 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Heart
LDD Bioscience Phytolacca D Dilution 1000 CH,LDD Bioscience Pvt Ltd,Phytolacca Decendra,,,Skin
LDD Bioscience Arsenicum Sulphuratum Rubrum Dilution 6 CH,LDD Bioscience Pvt Ltd,Arsenicum Sulphuratum Rubrum,,,Skin
Bjain  Magnesia Muriatica Globules 0/3 LM,Bjain Pharmaceuticals Pvt Ltd,Magnesia Muriatica,,,Whole Body
Neon Plus NH61 Immunoboost Drop,Neon Homoeopathy,Aconitum NapellusBaptisia TinctoriaEchinacea AugustifoliaEupatorium PerfoliatumSambucus NigraThuja Occidentalis,,,Throat
LDD Bioscience Chelone Glabra Dilution 6 CH,LDD Bioscience Pvt Ltd,Chelone glabra,,,Skin
LDD Bioscience Calcarea Sulphurica Dilution 6 CH,LDD Bioscience Pvt Ltd,Calcarea sulphurica,,,Joints
Bjain Baryta Carbonica Globules 0/22 LM,Bjain Pharmaceuticals Pvt Ltd,Baryta carbonica,,,Stomach
Boiron Fraxinus Americana Dilution 1M,Boiron Laboratories Pvt Ltd,Frax Amer extracts,,,Head
Bjain Hypericum Perforatum Globules 0/13 LM,Bjain Pharmaceuticals Pvt Ltd,Hypericum perforatum,,,Joints
Bjain Acidum Tannicum Globules 0/2 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum tannicum,,,Intestine
Bjain Argentum Nitricum Globules 0/10 LM,Bjain Pharmaceuticals Pvt Ltd,Argentum Nitricum,,,Eye
LDD Bioscience Anacardium Orientale Dilution 6 CH,LDD Bioscience Pvt Ltd,Anacardium Orientale,,,Others
LDD Bioscience Calcarea Picrata Dilution 6 CH,LDD Bioscience Pvt Ltd,Calcarea picrata,,,Eye
Bjain Acidum Picricum Globules 0/9 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum picricum,,,Others
Hahnemann Bach Flower Wild Rose 30,Hahnemann Pharmaceuticals Pvt Ltd,Rosa canina 6x,,,Others
LDD Bioscience Anthrakokali Dilution 6 CH,LDD Bioscience Pvt Ltd,Anthrakokali,,,Skin
Lord's Vinca Minor Mother Tincture Q,Lord's Homoeopathic Laboratory Pvt Ltd,Vinca Minor,,,Hair
Bjain Aurum Muriaticum Globules 0/11 LM,Bjain Pharmaceuticals Pvt Ltd,Aurum muriaticum,,,Hair
Bjain Aegle Folia Dilution 50M,Bjain Pharmaceuticals Pvt Ltd,Aegle Folia,,,Others
Bjain Thyroidinum Globules 0/10 LM,Bjain Pharmaceuticals Pvt Ltd,Thyroidinum,,,Joints
Bjain Baryta Carbonica Globules 0/7 LM,Bjain Pharmaceuticals Pvt Ltd,Baryta carbonica,,,Stomach
Bjain Aesculus Hippocastanum Globules 0/27 LM,Bjain Pharmaceuticals Pvt Ltd,Aesculus hippocastanum,,,Throat
LDD Bioscience Morphinum Muriaticum Dilution 6 CH,LDD Bioscience Pvt Ltd,Morphinum muriaticum,,,Nerves
LDD Bioscience Origanum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Origanum,,,Skin
LDD Bioscience Stigmata Maydis Dilution 1000 CH,LDD Bioscience Pvt Ltd,Stigmata maydis,,,Pancreas
Bjain Caulophyllum Thalictroides  Globules 0/23 LM,Bjain Pharmaceuticals Pvt Ltd,Caulophyllum thalictroides,,,Joints
Healing Herbs Bach Flower Wild Rose,Healing Pharma India Pvt Ltd,Wild rose extract,,,Others
Bjain Lycopodium Clavatum Globules 0/12 LM,Bjain Pharmaceuticals Pvt Ltd,Lycopodium Clavatum,,,Throat
Bjain Borax Globules 0/10 LM,Bjain Pharmaceuticals Pvt Ltd,Borax,,,Nerves
Lord's Spigelia Mother Tincture Q,Lord's Homoeopathic Laboratory Pvt Ltd,Extract of spegelia plant,,,Heart
Medilife Alfalfa Health Tonic with Ginseng,Homeotrade,Ginseng Q 2%Kalium phosphoricum 3x 1%Cinchona officinalis Q 0.25%Kalium arsenicosum 6x 1%Ferrum aceticum 3x 1%Calcarea phosphorica 3x 0.5%AlfalfaQ 5%Avena sativa Q 5%Hydrastis canadensis Q 0.5%Excipient g.s. alcohol content: 9%v/v,,,Others
Bjain Magnesia Carbonica Globules 0/16 LM,Bjain Pharmaceuticals Pvt Ltd,Magnesia Carbonica,,,Others
LDD Bioscience Pertussin Dilution 6 CH,LDD Bioscience Pvt Ltd,Pertussin,,,Throat
Bjain Aesculus Hippocastanum Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Aesculus hippocastanum,,,Throat
LDD Bioscience Ignatia Amara Dilution 6 CH,LDD Bioscience Pvt Ltd,Ignatia Amara,,,Eye
LDD Bioscience Pertussin Dilution 1000 CH,LDD Bioscience Pvt Ltd,Pertussin,,,Throat
Bjain Bryonia Alba Globules 0/11 LM,Bjain Pharmaceuticals Pvt Ltd,Bryonia Alba,,,Throat
Bjain Aesculus Hippocastanum Globules 0/20 LM,Bjain Pharmaceuticals Pvt Ltd,Aesculus hippocastanum,,,Throat
Bjain Thyroidinum Globules 0/22 LM,Bjain Pharmaceuticals Pvt Ltd,Thyroidinum,,,Joints
Bjain Kali Carbonicum 0/3 LM,Bjain Pharmaceuticals Pvt Ltd,Kali carbonicum,,,Whole Body
LDD Bioscience Pulsatilla Dilution 1000 CH,LDD Bioscience Pvt Ltd,Pulsatilla,,,Others
LDD Bioscience Dilution Eriodictyon 6 CH,LDD Bioscience Pvt Ltd,Equisetum hyemale,,,Stomach
LDD Bioscience Elaps Corallinus Dilution 6 CH,LDD Bioscience Pvt Ltd,Elaps Corallinus,,,Stomach
Bjain Phosphorus Globules 0/13 LM,Bjain Pharmaceuticals Pvt Ltd,Phosphorus,,,Joints
LDD Bioscience Elaterium Dilution 6 CH,LDD Bioscience Pvt Ltd,Elaterium,,,Stomach
LDD Bioscience Carbo Animalis Dilution 6 CH,LDD Bioscience Pvt Ltd,Carbo animalis,,,Joints
LDD Bioscience Merc Cor Dilution 1000 CH,LDD Bioscience Pvt Ltd,Mercurius Corrosivus,,,Whole Body
Bjain Rhus Toxicodendron Globules 0/16 LM,Bjain Pharmaceuticals Pvt Ltd,Rhus toxicodendron,,,Whole Body
LDD Bioscience Abies Canadensis Dilution 6 CH,LDD Bioscience Pvt Ltd,Abies canadensis,,,Heart
Bjain Arnica Montana Globules 0/14 LM,Bjain Pharmaceuticals Pvt Ltd,Arnica montana,,,Joints
LDD Bioscience Magnesia Muruatica Dilution 6 CH,LDD Bioscience Pvt Ltd,Magnesia muriatica,,,Whole Body
Rxhomeo Aloe Socotrina Pellets 10M,Rxhomeo Private Limited,Aloe Socotrina,,,Others
LDD Bioscience Equisetum Hyemale Dilution 6 CH,LDD Bioscience Pvt Ltd,Equisetum hyemale,,,Eye
LDD Bioscience Insulin Dilution 6 CH,LDD Bioscience Pvt Ltd,Insulin,,,Skin
Rxhomeo Cactus G 200C,Rxhomeo Private Limited,Cactus grandiflorus,,,Heart
LDD Bioscience Lapis Albus Dilution 6 CH,LDD Bioscience Pvt Ltd,Lapis albus,,,Whole Body
Bjain Spigelia Anthlemia Dilution 12C,Bjain Pharmaceuticals Pvt Ltd,Spigelia,,,Nerves
Bjain Arsenicum Album Globules 0/28 LM,Bjain Pharmaceuticals Pvt Ltd,Arsenicum album,,,Throat
Bjain Berberis Vulgaris Globules 0/12 LM,Bjain Pharmaceuticals Pvt Ltd,Berberis vulgaris,,,Joints
LDD Bioscience Justicia Adhatoda Dilution 6 CH,LDD Bioscience Pvt Ltd,Justicia Adhatoda,,,Throat
ADEL Borax Dilution 10M,Adel Pekana Germany,Boric acidEthanol,,,Others
Rxhomeo Arsenicum Album 10M Pellets,Rxhomeo Private Limited,Arsenicum Album,3.6,11,Intestine
LDD Bioscience Natrum Nitricum Dilution 6 CH,LDD Bioscience Pvt Ltd,Natrum nitricum,,,Others
Bjain Magnesium Metallicum Globules 0/26 LM,Bjain Pharmaceuticals Pvt Ltd,Magnesium Metallicum,,,Whole Body
Bjain Magnesia Carbonica Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Magnesia Carbonica,,,Others
Bjain Acidum Tannicum Globules 0/7 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum tannicum,,,Intestine
Bjain Caulophyllum Thalictroides  Globules 0/3 LM,Bjain Pharmaceuticals Pvt Ltd,Caulophyllum thalictroides,,,Joints
Bjain Calcarea Hypophosphorosa Globules 0/30 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea Hypophosphorosa,,,Others
Bjain Berberis Vulgaris Globules 0/26 LM,Bjain Pharmaceuticals Pvt Ltd,Berberis vulgaris,,,Joints
LDD Bioscience Sabina Dilution 6 CH,LDD Bioscience Pvt Ltd,Sabina,,,Skin
LDD Bioscience Croton Tiglium Dilution 6 CH,LDD Bioscience Pvt Ltd,Croton Tiglium,,,Skin
LDD Bioscience Eriodictyon Dilution 6 CH,LDD Bioscience Pvt Ltd,Equisetum hyemale,,,Stomach
LDD Bioscience Xanthoxylum Fraxineum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Xanthoxylum Fraxineum,,,Brain
LDD Bioscience Carbo Animalis Dilution 6 CH,LDD Bioscience Pvt Ltd,Carbo animalis,,,Joints
LDD Bioscience Ferrum Metallicum Dilution 6 CH,LDD Bioscience Pvt Ltd,Ferrum metallicum,,,Others
Bjain Arsenicum Album Globules 0/24 LM,Bjain Pharmaceuticals Pvt Ltd,Arsenicum album,,,Throat
Bjain Allium Cepa Globules 0/12 LM,Bjain Pharmaceuticals Pvt Ltd,Allium cepa,,,Eye
LDD Bioscience Pothos Dilution 6 CH,LDD Bioscience Pvt Ltd,Pothos,,,Head
LDD Bioscience Pinus Lambbertiana Dilution 6 CH,LDD Bioscience Pvt Ltd,Pinus Lambbertiana,,,Skin
Bjain Phosphorus Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Phosphorus,,,Joints
Bjain Rhus Toxicodendron Globules 0/21 LM,Bjain Pharmaceuticals Pvt Ltd,Rhus toxicodendron,,,Whole Body
LDD Bioscience Viola Tricolor Dilution 1000 CH,LDD Bioscience Pvt Ltd,Viola Tricolor,,,Hair
Bjain Thyroidinum Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Thyroidinum,,,Joints
LDD Bioscience Sulphur Iodatum Dilution 6 CH,LDD Bioscience Pvt Ltd,Sulphur iodatum,,,Kidney
LDD Bioscience Raphanus Dilution 6 CH,LDD Bioscience Pvt Ltd,Raphanus,,,Whole Body
LDD Bioscience Alumina Dilution 6 CH,LDD Bioscience Pvt Ltd,Alumina,,,Others
LDD Bioscience Psoralea Corylifolia Ext Mother Tincture Q,LDD Bioscience Pvt Ltd,Psoralea Corylifolia Ext,,,Intestine
LDD Bioscience Cuprum Arsenicosum Dilution 6 CH,LDD Bioscience Pvt Ltd,Cuprum Arsenicosum,,,Whole Body
Bjain Pulsatilla Nigricans Globules 0/1 LM,Bjain Pharmaceuticals Pvt Ltd,Pulsatilla Nigricans,,,Others
LDD Bioscience Cuprum Arsenicosum Dilution 6 CH,LDD Bioscience Pvt Ltd,Cuprum Arsenicosum,,,Whole Body
Bjain Borax Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Borax,,,Nerves
Bjain Allium Cepa Globules 0/4 LM,Bjain Pharmaceuticals Pvt Ltd,Allium cepa,,,Eye
LDD Bioscience Natrum Salic Dilution 6 CH,LDD Bioscience Pvt Ltd,Natrum salic,,,Eye
Bjain Trifolium Repens Dilution 12C,Bjain Pharmaceuticals Pvt Ltd,Trifolium repens,,,Whole Body
LDD Bioscience Zincum Phosphoricum Dilution 6 CH,LDD Bioscience Pvt Ltd,Zincum Phosphoricum,,,Others
LDD Bioscience Graphites Dilution 6 CH,LDD Bioscience Pvt Ltd,Graphites,,,Eye
Bjain Pulsatilla Nigricans Globules 0/29 LM,Bjain Pharmaceuticals Pvt Ltd,Pulsatilla Nigricans,,,Others
Bjain Kali Bichromicum Globules 0/14 LM,Bjain Pharmaceuticals Pvt Ltd,Kali Bichromicum,,,Others
Boiron Acidum Muracitum Dilution 6C,Boiron Laboratories Pvt Ltd,Acidum muraticum,,,Skin
LDD Bioscience Populus Candicans Dilution 6 CH,LDD Bioscience Pvt Ltd,Populus Candicans,,,Eye
Bjain Cocculus Indicus Globules 0/14 LM,Bjain Pharmaceuticals Pvt Ltd,Cocculus Indicus,,,Others
LDD Bioscience Carduus Mar Dilution 6 CH,LDD Bioscience Pvt Ltd,Carduus Marianus,,,Brain
LDD Bioscience Jatropha Curcas Dilution 6 CH,LDD Bioscience Pvt Ltd,Jatropha Curcas,,,Whole Body
LDD Bioscience Syphilinum Dilution 6 CH,LDD Bioscience Pvt Ltd,Syphilinum,,,Skin
LDD Bioscience Dioscorea Dilution 6 CH,LDD Bioscience Pvt Ltd,Dioscorea,,,Whole Body
LDD Bioscience Penthorum Sedoides Dilution 6 CH,LDD Bioscience Pvt Ltd,Penthorum Sedoides,,,Skin
Bjain Allium Cepa Globules 0/24 LM,Bjain Pharmaceuticals Pvt Ltd,Allium cepa,,,Eye
Bjain Abrotanum Dilution 10M,Bjain Pharmaceuticals Pvt Ltd,Abrotanum,,,Whole Body
Bjain  Natrum Carbonicum Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Natrum Carbonicum,,,Stomach
Bjain Calcarea Carbonica Globules 0/9 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea Carbonica,,,Others
Bjain Chelidonium Majus Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Chelidonium Majus,,,Eye
LDD Bioscience Crotalus Horridus Dilution 6 CH,LDD Bioscience Pvt Ltd,Crotalus Horridus,,,Skin
LDD Bioscience Passiflora Dilution 1000 CH,LDD Bioscience Pvt Ltd,Passiflora,,,Others
LDD Bioscience Berberis Vulgaris Dilution 6 CH,LDD Bioscience Pvt Ltd,Berberis Vulgaris,,,Kidney
LDD Bioscience Convallaria Majalis Dilution 6 CH,LDD Bioscience Pvt Ltd,Convallaria,,,Others
LDD Bioscience Cynadon Dactylon Dilution 6 CH,LDD Bioscience Pvt Ltd,Cynadon Dactylon,,,Skin
Bjain  Natrum Carbonicum Globules 0/17 LM,Bjain Pharmaceuticals Pvt Ltd,Natrum Carbonicum,,,Stomach
Bjain Caulophyllum Thalictroides  Globules 0/22 LM,Bjain Pharmaceuticals Pvt Ltd,Caulophyllum thalictroides,,,Joints
Bjain Aesculus Hippocastanum Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Aesculus hippocastanum,,,Throat
LDD Bioscience Kreosotum Dilution 6 CH,LDD Bioscience Pvt Ltd,Kreosotum,,,Head
Bjain Berberis Vulgaris Globules 0/7 LM,Bjain Pharmaceuticals Pvt Ltd,Berberis vulgaris,,,Joints
Bjain Alumen Globules 0/13 LM,Bjain Pharmaceuticals Pvt Ltd,Alumen,,,Heart
Bjain Cinchona Officinalis Globules 0/28 LM,Bjain Pharmaceuticals Pvt Ltd,Cinchona Officinalis,,,Others
LDD Bioscience Guaiacum Dilution 6 CH,LDD Bioscience Pvt Ltd,Guaiacum,,,Others
Rxhomeo Cantharis 1M,Rxhomeo Private Limited,Cantharis,,,Skin
LDD Bioscience Angustura Vera Dilution 6 CH,LDD Bioscience Pvt Ltd,Angustura Vera,,,Others
Boiron Lilium Tigrinum Dilution 10M,Boiron Laboratories Pvt Ltd,Lilium tigrinum,,,Heart
Bjain Acidum Picricum Globules 0/20 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum picricum,,,Others
ADEL Leptandra Virginica Dilution 1000 CH,Adel Pekana Germany,Leptandra,,,Intestine
Bjain Kali Bichromicum Globules 0/24 LM,Bjain Pharmaceuticals Pvt Ltd,Kali Bichromicum,,,Others
LDD Bioscience Cistus Canadensis Dilution 6 CH,LDD Bioscience Pvt Ltd,Cistus canadensis,,,Stomach
Dr Willmar Schwabe Germany Plantago Major Dilution 200,Dr Willmar Schwabe India Pvt Ltd,Plantago,,,Stomach
ADEL Argentum Nit. Dilution 10M,Adel Pekana Germany,,,,Others
Bjain Hypericum Perforatum Globules 0/15 LM,Bjain Pharmaceuticals Pvt Ltd,Hypericum perforatum,,,Joints
Bjain Aesculus Hippocastanum Globules 0/24 LM,Bjain Pharmaceuticals Pvt Ltd,Aesculus hippocastanum,,,Throat
Bjain Phosphorus Globules 0/7 LM,Bjain Pharmaceuticals Pvt Ltd,Phosphorus,,,Joints
LDD Bioscience Cuprum Oxy Nigrum Dilution 6 CH,LDD Bioscience Pvt Ltd,Cuprum Oxy Nigrum,,,Whole Body
LDD Bioscience Symphoricarpus Racemosus Dilution 1000 CH,LDD Bioscience Pvt Ltd,Symphoricarpus racemosus,,,Others
Bjain Calcarea Carbonica Globules 0/15 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea Carbonica,,,Others
Bjain Lycopodium Clavatum Globules 0/19 LM,Bjain Pharmaceuticals Pvt Ltd,Lycopodium Clavatum,,,Throat
LDD Bioscience Antimonium Sulphuratum Dilution 6 CH,LDD Bioscience Pvt Ltd,Antimonium Sulphuratum,,,Others
LDD Bioscience Jaborandi Dilution 6 CH,LDD Bioscience Pvt Ltd,Jaborandi,,,Hair
Bjain Salvia Officinalis Dilution 10M,Bjain Pharmaceuticals Pvt Ltd,Natural extracts of salvia,,,Throat
LDD Bioscience Cyperipedium Dilution 6 CH,LDD Bioscience Pvt Ltd,Cyperipedium,,,Head
LDD Bioscience Lachesis Dilution 6 CH,LDD Bioscience Pvt Ltd,Lachesis,,,Skin
Bjain Pulsatilla Nigricans Globules 0/7 LM,Bjain Pharmaceuticals Pvt Ltd,Pulsatilla Nigricans,,,Others
LDD Bioscience Cuprum Aceticum Dilution 6 CH,LDD Bioscience Pvt Ltd,Cuprum Aceticum,,,Joints
LDD Bioscience Vertarum Album Dilution 6 CH,LDD Bioscience Pvt Ltd,Vertarum Album,,,Whole Body
Bjain Lycopodium Clavatum Globules 0/6 LM,Bjain Pharmaceuticals Pvt Ltd,Lycopodium Clavatum,,,Throat
LDD Bioscience Lobelia Inflata Dilution 6 CH,LDD Bioscience Pvt Ltd,Lobelia inflata,,,Eye
Bjain Kali Bichromicum Globules 0/13 LM,Bjain Pharmaceuticals Pvt Ltd,Kali Bichromicum,,,Others
Bjain Acidum Picricum Globules 0/29 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum picricum,,,Others
Bjain Aconitum Napellus Globules 0/25 LM,Bjain Pharmaceuticals Pvt Ltd,Aconitum napellus,,,Eye
LDD Bioscience Balsamum Peruvianum Dilution 6 CH,LDD Bioscience Pvt Ltd,Balsamum Peruvianum,,,Throat
Bjain Alumen Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Alumen,,,Heart
LDD Bioscience Yucca Filamentosa Dilution 1000 CH,LDD Bioscience Pvt Ltd,Yucca Filamentosa,,,Skin
Bjain Alumen Globules 0/28 LM,Bjain Pharmaceuticals Pvt Ltd,Alumen,,,Heart
Bjain Bryonia Alba Globules 0/19 LM,Bjain Pharmaceuticals Pvt Ltd,Bryonia Alba,,,Throat
Bjain Kali Bichromicum Globules 0/19 LM,Bjain Pharmaceuticals Pvt Ltd,Kali Bichromicum,,,Others
ADEL Mentha Piperita Dilution 30 CH,Adel Pekana Germany,Mentha Piperita,,,Others
Boiron Hyoscyamus Niger Dilution 200C,Boiron Laboratories Pvt Ltd,Hyoscyamus niger,,,Throat
Bjain Tormentilla  Dilution 12C,Bjain Pharmaceuticals Pvt Ltd,Tormentilla,,,Eye
Bjain Acidum Tannicum Globules 0/24 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum tannicum,,,Intestine
Bjain Caulophyllum Thalictroides  Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Caulophyllum thalictroides,,,Joints
ADEL Jaborandi Dilution 6,Adel Pekana Germany,Jaborandi,,,Hair
LDD Bioscience Platinum Metallicum Dilution 6 CH,LDD Bioscience Pvt Ltd,Platinum Metallicum,,,Brain
LDD Bioscience Ferrum Metallicum Dilution 6 CH,LDD Bioscience Pvt Ltd,Ferrum metallicum,,,Others
LDD Bioscience Ammonium Aceticum Dilution 6 CH,LDD Bioscience Pvt Ltd,Ammonium aceticum,,,Others
Bjain Pulsatilla Nigricans Globules 0/23 LM,Bjain Pharmaceuticals Pvt Ltd,Pulsatilla Nigricans,,,Others
LDD Bioscience Echinacea Dilution 6 CH,LDD Bioscience Pvt Ltd,Echinacea,,,Heart
Bjain Aconitum Napellus Globules 0/22 LM,Bjain Pharmaceuticals Pvt Ltd,Aconitum napellus,,,Eye
LDD Bioscience Nux Moschata Dilution 1000 CH,LDD Bioscience Pvt Ltd,Nuphar luteum,,,Stomach
LDD Bioscience Scirrhinum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Scirrhinum,,,Others
LDD Bioscience Ammonium Nitricum Dilution 6 CH,LDD Bioscience Pvt Ltd,Ammonium Nitricum,,,Others
Bjain Caulophyllum Thalictroides  Globules 0/29 LM,Bjain Pharmaceuticals Pvt Ltd,Caulophyllum thalictroides,,,Joints
Rxhomeo Cimicifuga R 1M,Rxhomeo Private Limited,Cimicifuga Racemosa,,,Head
LDD Bioscience Valeriana Officinalis Dilution 6 CH,LDD Bioscience Pvt Ltd,Valeriana Officinalis,,,Joints
LDD Bioscience Osmium Dilution 6 CH,LDD Bioscience Pvt Ltd,Osmium,,,Hair
Dr Willmar Schwabe Germany Viburnum Opulus  Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Viburnum Opulus,,,Nerves
Bjain Rhus Toxicodendron Globules 0/2 LM,Bjain Pharmaceuticals Pvt Ltd,Rhus toxicodendron,,,Whole Body
Bjain Pulsatilla Nigricans Globules 0/15 LM,Bjain Pharmaceuticals Pvt Ltd,Pulsatilla Nigricans,,,Others
Bjain Aloe Socotrina Globules 0/9 LM,Bjain Pharmaceuticals Pvt Ltd,Aloe socotrina,,,Head
